race_id,race_date,venue,race_no,car_no,rider_name_raw,class,style,competition_score,S,B,nige,makuri,sashi,mark,source_url,source_file_sha256,evidence_role
3420260830010010,2026-08-30,川崎,10,2,田中 陽平 熊 本/36/97,S2,追,3.92,1,0,0,0,2,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010010,2026-08-30,川崎,10,3,山本 奨 岡 山/37/94,S2,両,3.92,4,0,0,4,5,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010010,2026-08-30,川崎,10,4,山口 多聞 埼 玉/24/121,S1,逃,3.92,1,18,3,1,1,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010010,2026-08-30,川崎,10,5,小島 歩 神奈川/37/97,S2,追,3.92,2,0,0,0,6,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010010,2026-08-30,川崎,10,6,畝木 聖 岡 山/29/117,S2,逃,3.92,4,7,3,4,0,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010010,2026-08-30,川崎,10,7,岡田 征陽 東 京/46/85,S2,追,3.92,7,1,0,1,7,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,1,佐藤 幸治 長 崎/40/92,S2,両,3.92,8,4,2,7,4,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,2,格清 洋介 静 岡/32/111,S2,逃,3.93,2,9,5,9,0,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,3,永井 哉多 東 京/24/121,S2,逃,3.92,0,14,6,9,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,4,岸澤 賢太 埼 玉/39/91,S2,追,3.92,5,0,0,1,7,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,5,ラブレイセン 外 国/29/999,S2,両,3.93,0,15,8,7,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,6,三ツ石 康洋 徳 島/45/86,S2,両,3.92,0,0,0,1,2,3,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010011,2026-08-30,川崎,11,7,嶋田 誠也 福 岡/33/109,S2,追,3.79,6,0,0,0,1,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010011/,10e6b09cba8b493422854b7c2697b52349b80571181cfa1affb952ddc08a6fc8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010012,2026-08-30,川崎,12,1,桑原 大志 山 口/50/80,S1,追,3.92,2,0,0,0,8,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010012/,4c88d3abd290dd89e4bacc82f8c3e641a3f873da3b37a36bbb6fa1bc82b43b25,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010012,2026-08-30,川崎,12,2,佐々木 眞也 神奈川/32/117,S1,両,3.92,5,0,0,1,9,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010012/,4c88d3abd290dd89e4bacc82f8c3e641a3f873da3b37a36bbb6fa1bc82b43b25,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
